keyword,category,monthly_volume,cpc_usd,competition_index,keyword_difficulty,priority,trend_angle,assign_to_page
cacao nibs,Cacao Nibs,33100,0.63,99,4,HIGH — Broad,,/shop/cacao-nibs/
raw cacao nibs,Cacao Nibs,3600,0.78,100,3,HIGH — Niche,,/shop/cacao-nibs/
organic cacao nibs,Cacao Nibs,2400,1.55,100,5,HIGH — Niche,Ethical Sourcing,/shop/cacao-nibs/
unsweetened cacao nibs,Cacao Nibs,1600,0.59,25,4,HIGH — Niche,,/shop/cacao-nibs/
navitas organic cacao nibs,Cacao Nibs,5400,0.7,22,,LOW,Ethical Sourcing,/shop/cacao-nibs/
navitas organics organic cacao nibs,Cacao Nibs,5400,0.7,22,,LOW,Ethical Sourcing,/shop/cacao-nibs/
cocoa nibs raw,Cacao Nibs,3600,0.78,100,,LOW,,/shop/cacao-nibs/
cacao nibs benefits,Cacao Nibs,2900,0.54,27,,LOW,Wellness,/shop/cacao-nibs/
benefit of cocoa nibs,Cacao Nibs,2900,0.54,27,,LOW,Wellness,/shop/cacao-nibs/
chocolate nibs benefits,Cacao Nibs,2900,0.54,27,,LOW,Wellness,/shop/cacao-nibs/
navitas cacao nibs,Cacao Nibs,720,0.61,100,,LOW,,/shop/cacao-nibs/
cacao nibs whole foods,Cacao Nibs,720,0.43,98,,LOW,,/shop/cacao-nibs/
cocoa nibs whole foods,Cacao Nibs,720,0.43,98,,LOW,,/shop/cacao-nibs/
navitas naturals cacao nibs,Cacao Nibs,720,0.61,100,,LOW,,/shop/cacao-nibs/
cacao nibs nutrition,Cacao Nibs,720,0.46,58,,LOW,,/shop/cacao-nibs/
cocoa nibs health benefits,Cacao Nibs,720,0.36,14,,LOW,Wellness,/shop/cacao-nibs/
cacao nibs health benefits,Cacao Nibs,720,0.36,14,,LOW,Wellness,/shop/cacao-nibs/
cacao nibs nutritional value,Cacao Nibs,720,0.46,58,,LOW,,/shop/cacao-nibs/
chocolate nibs health benefits,Cacao Nibs,720,0.36,14,,LOW,Wellness,/shop/cacao-nibs/
cocoa nibs nutritional value,Cacao Nibs,720,0.46,58,,LOW,,/shop/cacao-nibs/
cocoa nibs where to buy,Cacao Nibs,590,0.52,100,,LOW,,/shop/cacao-nibs/
sweet cacao nibs,Cacao Nibs,320,0.39,100,,LOW,,/shop/cacao-nibs/
sweetened cacao nibs,Cacao Nibs,320,0.39,100,,LOW,,/shop/cacao-nibs/
cacao nibs sweetened,Cacao Nibs,320,0.39,100,,LOW,,/shop/cacao-nibs/
sweetened cocoa nibs,Cacao Nibs,320,0.39,100,,LOW,,/shop/cacao-nibs/
organic raw cacao nibs,Cacao Nibs,260,0.78,100,,LOW,Ethical Sourcing,/shop/cacao-nibs/
raw chocolate nibs,Cacao Nibs,210,0.64,100,,LOW,,/shop/cacao-nibs/
cacao nibs dark chocolate,Cacao Nibs,170,0.55,100,,LOW,,/shop/cacao-nibs/
dark chocolate cocoa nibs,Cacao Nibs,170,0.55,100,,LOW,,/shop/cacao-nibs/
carob nibs,Cacao Nibs,170,0.48,100,,LOW,,/shop/cacao-nibs/
superfood cacao nibs,Cacao Nibs,140,8.85,100,,LOW,Wellness,/shop/cacao-nibs/
viva naturals organic cacao nibs,Cacao Nibs,140,0.68,80,,LOW,Ethical Sourcing,/shop/cacao-nibs/
cacao nibs vegan,Cacao Nibs,110,0,14,,LOW,Dietary,/shop/cacao-nibs/
